Tokens de algoritmos2_3.php (usuario: steevenGD):

PHP_OPEN (<?php) - línea 1
VARIABLE ($variableValida) - línea 9
ASSIGN (=) - línea 9
NUMBER (123) - línea 9
SEMICOLON (;) - línea 9
VARIABLE ($_otraVariable) - línea 10
ASSIGN (=) - línea 10
STRING ("texto") - línea 10
SEMICOLON (;) - línea 10
VARIABLE ($numeroDecimal) - línea 11
ASSIGN (=) - línea 11
FLOAT (3.1416) - línea 11
SEMICOLON (;) - línea 11
VARIABLE ($operacion) - línea 12
ASSIGN (=) - línea 12
NUMBER (2) - línea 12
PLUS (+) - línea 12
NUMBER (3) - línea 12
TIMES (*) - línea 12
LPAREN (() - línea 12
NUMBER (10) - línea 12
DIVIDE (/) - línea 12
NUMBER (2) - línea 12
RPAREN ()) - línea 12
SEMICOLON (;) - línea 12
VARIABLE ($var) - línea 15
ID (invalida) - línea 15
ASSIGN (=) - línea 15
STRING ("error") - línea 15
SEMICOLON (;) - línea 15
IF (if) - línea 22
LPAREN (() - línea 22
VARIABLE ($variableValida) - línea 22
GT (>) - línea 22
NUMBER (100) - línea 22
RPAREN ()) - línea 22
LBRACE ({) - línea 22
ECHO (echo) - línea 23
STRING ("Es mayor") - línea 23
SEMICOLON (;) - línea 23
RBRACE (}) - línea 24
FOR (for) - línea 26
LPAREN (() - línea 26
VARIABLE ($i) - línea 26
ASSIGN (=) - línea 26
NUMBER (0) - línea 26
SEMICOLON (;) - línea 26
VARIABLE ($i) - línea 26
LT (<) - línea 26
NUMBER (10) - línea 26
SEMICOLON (;) - línea 26
VARIABLE ($i) - línea 26
INCR (++) - línea 26
RPAREN ()) - línea 26
LBRACE ({) - línea 26
ECHO (echo) - línea 27
VARIABLE ($i) - línea 27
SEMICOLON (;) - línea 27
RBRACE (}) - línea 28
FUNCTION (function) - línea 30
ID (funcionValida) - línea 30
LPAREN (() - línea 30
VARIABLE ($param) - línea 30
RPAREN ()) - línea 30
LBRACE ({) - línea 30
RETURN (return) - línea 31
VARIABLE ($param) - línea 31
TIMES (*) - línea 31
NUMBER (2) - línea 31
SEMICOLON (;) - línea 31
RBRACE (}) - línea 32
IF (if) - línea 35
VARIABLE ($variableValida) - línea 35
GT (>) - línea 35
NUMBER (100) - línea 35
ECHO (echo) - línea 36
STRING ("Error") - línea 36
SEMICOLON (;) - línea 36
FOR (for) - línea 38
VARIABLE ($i) - línea 38
ASSIGN (=) - línea 38
NUMBER (0) - línea 38
VARIABLE ($i) - línea 38
LT (<) - línea 38
NUMBER (10) - línea 38
VARIABLE ($i) - línea 38
INCR (++) - línea 38
ECHO (echo) - línea 39
VARIABLE ($i) - línea 39
SEMICOLON (;) - línea 39
FUNCTION (function) - línea 41
ID (funcionInvalida) - línea 41
VARIABLE ($param) - línea 41
LBRACE ({) - línea 41
RETURN (return) - línea 42
VARIABLE ($param) - línea 42
TIMES (*) - línea 42
NUMBER (2) - línea 42
SEMICOLON (;) - línea 42
RBRACE (}) - línea 43
FUNCTION (function) - línea 50
ID (suma) - línea 50
LPAREN (() - línea 50
VARIABLE ($a) - línea 50
COMMA (,) - línea 50
VARIABLE ($b) - línea 50
RPAREN ()) - línea 50
LBRACE ({) - línea 50
RETURN (return) - línea 51
VARIABLE ($a) - línea 51
PLUS (+) - línea 51
VARIABLE ($b) - línea 51
SEMICOLON (;) - línea 51
RBRACE (}) - línea 52
VARIABLE ($resultado) - línea 54
ASSIGN (=) - línea 54
ID (suma) - línea 54
LPAREN (() - línea 54
NUMBER (5) - línea 54
COMMA (,) - línea 54
FLOAT (3.2) - línea 54
RPAREN ()) - línea 54
SEMICOLON (;) - línea 54
CLASS (class) - línea 56
ID (MiClase) - línea 56
LBRACE ({) - línea 56
PUBLIC (public) - línea 57
FUNCTION (function) - línea 57
ID (metodo) - línea 57
LPAREN (() - línea 57
RPAREN ()) - línea 57
LBRACE ({) - línea 57
RETURN (return) - línea 58
STRING ("Hola") - línea 58
SEMICOLON (;) - línea 58
RBRACE (}) - línea 59
RBRACE (}) - línea 60
VARIABLE ($obj) - línea 62
ASSIGN (=) - línea 62
NEW (new) - línea 62
ID (MiClase) - línea 62
LPAREN (() - línea 62
RPAREN ()) - línea 62
SEMICOLON (;) - línea 62
VARIABLE ($obj) - línea 63
MINUS (-) - línea 63
GT (>) - línea 63
ID (metodo) - línea 63
LPAREN (() - línea 63
RPAREN ()) - línea 63
SEMICOLON (;) - línea 63
RETURN (return) - línea 67
NUMBER (42) - línea 67
SEMICOLON (;) - línea 67
ID (break) - línea 70
SEMICOLON (;) - línea 70
ID (continue) - línea 73
SEMICOLON (;) - línea 73
VARIABLE ($texto) - línea 76
ASSIGN (=) - línea 76
STRING ("Hola") - línea 76
SEMICOLON (;) - línea 76
VARIABLE ($suma) - línea 77
ASSIGN (=) - línea 77
VARIABLE ($texto) - línea 77
PLUS (+) - línea 77
NUMBER (5) - línea 77
SEMICOLON (;) - línea 77
ID (funcionInexistente) - línea 80
LPAREN (() - línea 80
RPAREN ()) - línea 80
SEMICOLON (;) - línea 80
VARIABLE ($obj) - línea 83
MINUS (-) - línea 83
GT (>) - línea 83
ID (metodoNoExistente) - línea 83
LPAREN (() - línea 83
RPAREN ()) - línea 83
SEMICOLON (;) - línea 83
VARIABLE ($instancia) - línea 86
ASSIGN (=) - línea 86
NEW (new) - línea 86
ID (ClaseNoExistente) - línea 86
LPAREN (() - línea 86
RPAREN ()) - línea 86
SEMICOLON (;) - línea 86
FUNCTION (function) - línea 89
ID (saludar) - línea 89
LPAREN (() - línea 89
