Tokens de algoritmo2.php (usuario: JosephMiranda87):

PHP_OPEN (<?php) - línea 1
FUNCTION (function) - línea 2
ID (saludar) - línea 2
LPAREN (() - línea 2
VARIABLE ($nombre) - línea 2
RPAREN ()) - línea 2
LBRACE ({) - línea 2
IF (if) - línea 3
LPAREN (() - línea 3
VARIABLE ($nombre) - línea 3
NEQ (!=) - línea 3
STRING ("") - línea 3
RPAREN ()) - línea 3
LBRACE ({) - línea 3
ECHO (echo) - línea 4
STRING ("Hola, ") - línea 4
CONCAT (.) - línea 4
VARIABLE ($nombre) - línea 4
SEMICOLON (;) - línea 4
RBRACE (}) - línea 5
ELSE (else) - línea 5
LBRACE ({) - línea 5
ECHO (echo) - línea 6
STRING ("Nombre vacío") - línea 6
SEMICOLON (;) - línea 6
RBRACE (}) - línea 7
RBRACE (}) - línea 8
FUNCTION (function) - línea 10
ID (miFuncion) - línea 10
LPAREN (() - línea 10
VARIABLE ($parametro1) - línea 10
COMMA (,) - línea 10
VARIABLE ($parametro2) - línea 10
RPAREN ()) - línea 10
LBRACE ({) - línea 10
VARIABLE ($resultado) - línea 12
ASSIGN (=) - línea 12
VARIABLE ($parametro1) - línea 12
PLUS (+) - línea 12
VARIABLE ($parametro2) - línea 12
SEMICOLON (;) - línea 12
RETURN (return) - línea 13
VARIABLE ($resultado) - línea 13
SEMICOLON (;) - línea 13
RBRACE (}) - línea 14
VARIABLE ($_valor1) - línea 16
ASSIGN (=) - línea 16
NUMBER (10) - línea 16
SEMICOLON (;) - línea 16
VARIABLE ($_valor2) - línea 17
ASSIGN (=) - línea 17
NUMBER (5) - línea 17
SEMICOLON (;) - línea 17
VARIABLE ($_resultadoFinal) - línea 18
ASSIGN (=) - línea 18
ID (miFuncion) - línea 18
LPAREN (() - línea 18
VARIABLE ($valor1) - línea 18
COMMA (,) - línea 18
VARIABLE ($valor2) - línea 18
RPAREN ()) - línea 18
SEMICOLON (;) - línea 18
ECHO (echo) - línea 19
VARIABLE ($_resultadoFinal) - línea 19
SEMICOLON (;) - línea 19
PHP_CLOSE (?>) - línea 21
