Tokens de algoritmo2.php (usuario: JosephMiranda87):

PHP_OPEN (<?php) - línea 1
FUNCTION (function) - línea 2
ID (saludar) - línea 2
LPAREN (() - línea 2
VARIABLE ($nombre) - línea 2
RPAREN ()) - línea 2
LBRACE ({) - línea 2
RETURN (return) - línea 3
STRING ("Hola, ") - línea 3
CONCAT (.) - línea 3
VARIABLE ($nombre) - línea 3
SEMICOLON (;) - línea 3
RBRACE (}) - línea 4
CLASS (class) - línea 6
ID (Persona) - línea 6
LBRACE ({) - línea 6
VARIABLE ($nombre) - línea 7
SEMICOLON (;) - línea 7
FUNCTION (function) - línea 9
ID (mostrar) - línea 9
LPAREN (() - línea 9
RPAREN ()) - línea 9
LBRACE ({) - línea 9
ECHO (echo) - línea 10
VARIABLE ($this) - línea 10
MINUS (-) - línea 10
GT (>) - línea 10
ID (nombre) - línea 10
SEMICOLON (;) - línea 10
RBRACE (}) - línea 11
RBRACE (}) - línea 12
VARIABLE ($mensaje) - línea 14
ASSIGN (=) - línea 14
ID (saludar) - línea 14
LPAREN (() - línea 14
STRING ("Luis") - línea 14
RPAREN ()) - línea 14
SEMICOLON (;) - línea 14
ECHO (echo) - línea 15
VARIABLE ($mensaje) - línea 15
SEMICOLON (;) - línea 15
PHP_CLOSE (?>) - línea 16
