Tokens de algoritmo2.php (usuario: JosephMiranda87):

FUNCTION (function) - línea 2
ID (saludar) - línea 2
PARENIZQ (() - línea 2
VARIABLE ($nombre) - línea 2
PARENDER ()) - línea 2
LLAVEIZQ ({) - línea 2
IF (if) - línea 3
PARENIZQ (() - línea 3
VARIABLE ($nombre) - línea 3
NEQ (!=) - línea 3
STRING ("") - línea 3
PARENDER ()) - línea 3
LLAVEIZQ ({) - línea 3
ECHO (echo) - línea 4
STRING ("Hola, ") - línea 4
CONCAT (.) - línea 4
VARIABLE ($nombre) - línea 4
PUNTOYCOMA (;) - línea 4
LLAVEDER (}) - línea 5
ELSE (else) - línea 5
LLAVEIZQ ({) - línea 5
ECHO (echo) - línea 6
STRING ("Nombre vacío") - línea 6
PUNTOYCOMA (;) - línea 6
LLAVEDER (}) - línea 7
LLAVEDER (}) - línea 8
FUNCTION (function) - línea 10
ID (miFuncion) - línea 10
PARENIZQ (() - línea 10
VARIABLE ($parametro1) - línea 10
COMA (,) - línea 10
VARIABLE ($parametro2) - línea 10
PARENDER ()) - línea 10
LLAVEIZQ ({) - línea 10
DIVIDE (/) - línea 11
DIVIDE (/) - línea 11
ID (Bloque) - línea 11
ID (de) - línea 11
ID (c) - línea 11
ID (digo) - línea 11
ID (de) - línea 11
ID (la) - línea 11
ID (funci) - línea 11
ID (n) - línea 11
VARIABLE ($resultado) - línea 12
ASSIGN (=) - línea 12
VARIABLE ($parametro1) - línea 12
PLUS (+) - línea 12
VARIABLE ($parametro2) - línea 12
PUNTOYCOMA (;) - línea 12
RETURN (return) - línea 13
VARIABLE ($resultado) - línea 13
PUNTOYCOMA (;) - línea 13
LLAVEDER (}) - línea 14
VARIABLE ($_valor1) - línea 16
ASSIGN (=) - línea 16
NUMBER (10) - línea 16
PUNTOYCOMA (;) - línea 16
VARIABLE ($_valor2) - línea 17
ASSIGN (=) - línea 17
NUMBER (5) - línea 17
PUNTOYCOMA (;) - línea 17
VARIABLE ($_resultadoFinal) - línea 18
ASSIGN (=) - línea 18
ID (miFuncion) - línea 18
PARENIZQ (() - línea 18
VARIABLE ($valor1) - línea 18
COMA (,) - línea 18
VARIABLE ($valor2) - línea 18
PARENDER ()) - línea 18
PUNTOYCOMA (;) - línea 18
ECHO (echo) - línea 19
VARIABLE ($_resultadoFinal) - línea 19
PUNTOYCOMA (;) - línea 19
DIVIDE (/) - línea 19
DIVIDE (/) - línea 19
ID (Imprimir) - línea 19
NUMBER (15) - línea 19
ID (saludar) - línea 21
PARENIZQ (() - línea 21
STRING ("Joseph") - línea 21
PARENDER ()) - línea 21
PUNTOYCOMA (;) - línea 21
