Tokens de algoritmo_sema.php (usuario: JohnUllaguari):

PHP_OPEN (<?php) - línea 1
VARIABLE ($notas) - línea 3
ASSIGN (=) - línea 3
ID (array) - línea 3
LPAREN (() - línea 3
STRING ("mate") - línea 3
DOUBLEARROW (=>) - línea 3
NUMBER (9) - línea 3
COMMA (,) - línea 3
STRING ("lengua") - línea 3
DOUBLEARROW (=>) - línea 3
NUMBER (8) - línea 3
RPAREN ()) - línea 3
SEMICOLON (;) - línea 3
FOREACH (foreach) - línea 5
LPAREN (() - línea 5
VARIABLE ($notas) - línea 5
AS (as) - línea 5
VARIABLE ($nota) - línea 5
RPAREN ()) - línea 5
LBRACE ({) - línea 5
ECHO (echo) - línea 6
VARIABLE ($nota) - línea 6
SEMICOLON (;) - línea 6
RBRACE (}) - línea 7
CLASS (class) - línea 9
ID (Persona) - línea 9
LBRACE ({) - línea 9
STATIC (static) - línea 10
FUNCTION (function) - línea 10
ID (saludar) - línea 10
LPAREN (() - línea 10
RPAREN ()) - línea 10
LBRACE ({) - línea 10
ECHO (echo) - línea 11
STRING ("Hola") - línea 11
SEMICOLON (;) - línea 11
RBRACE (}) - línea 12
RBRACE (}) - línea 13
VARIABLE ($nombre) - línea 15
ASSIGN (=) - línea 15
ID (readline) - línea 15
LPAREN (() - línea 15
STRING ("Ingrese su nombre: ") - línea 15
RPAREN ()) - línea 15
SEMICOLON (;) - línea 15
ECHO (echo) - línea 16
VARIABLE ($nombre) - línea 16
SEMICOLON (;) - línea 16
PHP_CLOSE (?>) - línea 18
